Brand_names,Display_tech,Prices,sound,os,screen_size,Manufacture,Warenty
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
LG,LED,"₹13,990",10,WebOS TV,32,2025,Warranty
Coocaa,LED,"₹7,299",30,Coolita TV,32,2025,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Thomson,QLED,"₹7,999",36,Linux TV,32,2025,1
XIAOMI,LED,"₹11,499",20,Fire TV,32,2025,1
realme,QLED,"₹9,499",26,Google TV,32,2025,1
XIAOMI,LED,"₹11,900",20,Google TV,32,2025,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
iFFALCON,LED,"₹16,999",24,Google TV,43,2025,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹6,999",30,Android TV,32,2023,1
TCL,QLED,"₹23,990",24,Google TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Samsung,LED,"₹25,490",20,Tizen TV,43,2025,2
BESTON,LED,"₹6,999",20,Android TV,32,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
Blaupunkt,QLED,"₹17,499",40,OS TV,43,2025,1
MOTOROLA,QLED,"₹9,999",40,Google TV,32,2025,1
XIAOMI,LED,"₹19,999",20,Google TV,43,2025,1
TCL,QLED,"₹32,990",24,Google TV,55,2025,2
realme,QLED,"₹27,999",40,Google TV,55,2025,1
iFFALCON,LED,"₹23,999",24,Google TV,55,2025,1
realme,QLED,"₹38,699",40,Google TV,65,2025,1
Thomson,QLED,"₹6,299",24,Linux TV,24,2025,1
Thomson,LED,"₹5,799",20,Linux TV,24,2023,1
XIAOMI,QLED,"₹32,999",34,Fire TV,55,2025,1
LG,LED,"₹39,990",20,AI TV,55,2025,Warranty
XIAOMI,QLED,"₹24,999",30,Fire TV,43,2025,1
realme,QLED,"₹25,999",40,Google TV,50,2025,1
TCL,QLED,"₹12,490",24,Google TV,32,2025,1
XIAOMI,QLED,"₹12,999",20,Google TV,32,2025,1
Infinix,LED,"₹7,999",16,Linux TV,32,2024,1
Thomson,LED,"₹13,999",40,Linux TV,43,2023,1
XIAOMI,QLED,"₹39,999",34,Google TV,55,2025,Enjoy
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
PHILIPS,QLED,"₹32,999",30,Google TV,55,2025,1
realme,QLED,"₹21,999",40,Google TV,43,2025,12
MOTOROLA,QLED,"₹21,499",48,Google TV,43,2025,12
Samsung,LED,"₹17,999",20,Tizen TV,43,2023,1
